Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,ust_id,mfpn
1,,C_Small-device-QFHMIX01B-rescue,C5C7C9,18pF,C_0805_2012Metric,3,,5c70984712875079b91f8b33,
2,,C_Small-device-QFHMIX01B-rescue,C6,33pF,C_0805_2012Metric,1,,5c70984712875079b91f8b37,
3,,C_Small-device-QFHMIX01B-rescue,C8,39pF,C_0805_2012Metric,1,,5dad549f128750448eca1926,
4,,C_Small-device-QFHMIX01B-rescue,C1C2C3C4C10C11C12C13,100pF,C_0805_2012Metric,8,,5c70984712875079b91f8b3b,
5,,SATA7-67491-1030-konektory,J1J2,SATA7-67491-1030,SATA-7_THT_VERT_2,2,,5c70984712875079b91f8a7b,
6,,L-device-QFHMIX01B-rescue,L12,4.7nH,L_0805_2012Metric,1,,60d330e0128750016518ca90,
7,,L-device-QFHMIX01B-rescue,L6,5.6nH,L_0805_2012Metric,1,,5c70984412875079b91f8803,
8,,L-device-QFHMIX01B-rescue,L5L11L17,10nH,L_0805_2012Metric,3,,60be72061287500165e6c35e,CW0805-10
9,,L-device-QFHMIX01B-rescue,L15L16,18nH,L_0805_2012Metric,2,,5c70984412875079b91f8806,CW0805-18
10,,L-device-QFHMIX01B-rescue,L3L4,22nH,L_0805_2012Metric,2,,60be80ed1287500165e6c3bb,0805AS-027J-08
11,,L-device-QFHMIX01B-rescue,L1L2L18L19,27nH,L_0805_2012Metric,4,,5c70984412875079b91f8807,CW0805-12
12,,L-device-QFHMIX01B-rescue,L9L10,39nH,L_0805_2012Metric,2,,5c70984412875079b91f8809,CW0805-39
13,,L-device-QFHMIX01B-rescue,L7L8L13L14,82nH,L_0805_2012Metric,4,,60be7e351287500165e6c39b,CW0805-82
